key|audience|scope|class|theme|guard|subject|body
identity-verify-email|customer-new-contact|core|essential|security|verification_challenge_active|Verify your email address|Your verification code is {{code}}. It expires in 10 minutes. Do not share it. If you did not request this, ignore this email.
identity-welcome|customer|core|transactional|core|account_created_and_email_verified|Welcome to Qpay-Fintech|Hello {{name}}, your account has been created. Complete the required identity checks in the app before using restricted services.
identity-onboarding-reminder|customer|core|optional|core|onboarding_incomplete_and_reminder_allowed|Continue setting up your account|Your account setup is incomplete. Open the app to continue when you are ready.
identity-password-reset|customer|core|essential|security|password_recovery_challenge_active|Your password reset code|Use {{code}} to continue the password reset you requested. It expires in 10 minutes. Do not share this code.
identity-password-changed|customer|core|essential|security|password_change_committed|Your password was changed|Your account password was changed. If this was not you, open the app or contact support through a trusted channel immediately.
identity-email-change-requested|customer-old-contact|core|essential|security|email_change_pending|An email change was requested|A request was made to change your account email. Your existing verified address remains active until the change is approved.
identity-email-change-verify|customer-new-contact|core|essential|security|new_email_challenge_active|Verify your new email address|Your email change verification code is {{code}}. It expires in 10 minutes. Do not share it.
identity-email-changed-old|customer-old-contact|core|essential|security|email_change_committed_old_snapshot|Your account email was changed|The email address on your account was changed. If you did not authorise this, contact support through a trusted channel.
identity-email-changed-new|customer-new-contact|core|essential|security|email_change_committed_new_verified|Your new email address is active|This verified email address is now associated with your account. Open the app to review your security settings.
identity-phone-changed|customer|core|essential|security|phone_change_committed|Your account phone number changed|The phone number associated with your account was changed. Review your security settings if this was unexpected.
security-new-device|customer|core|essential|security|new_device_session_established|New device sign-in|A new device signed in to your account. Review the device in the app and revoke access if it was not you.
security-suspicious-signin|customer|core|essential|security|customer_safe_security_notice_approved|Review your account security|We need you to review recent account activity. Open the app directly for secure instructions. We will not ask for your PIN by email.
security-session-revoked|customer|core|essential|security|session_revocation_committed|A device session was revoked|Access from a device was revoked. You can review your remaining active sessions in the app.
security-mfa-enabled|customer|core|essential|security|mfa_enrolment_committed|Multi-factor authentication enabled|An additional authentication factor is now active on your account. Review your recovery options in the app.
security-mfa-disabled|customer|core|essential|security|mfa_removal_committed|Multi-factor authentication changed|An authentication factor was removed from your account. Contact support if this was not authorised by you.
security-recovery-started|customer|core|essential|security|recovery_case_created|Account recovery requested|An account recovery request was started. Open the app or contact support through a trusted channel if this was unexpected.
security-recovery-completed|customer|core|essential|security|recovery_completed_and_sessions_reviewed|Account recovery completed|Your account recovery process is complete. Review your active sessions and authentication settings.
security-recovery-cancelled|customer|core|essential|security|recovery_case_cancelled|Account recovery cancelled|The account recovery request was cancelled. Your current security settings remain subject to any restrictions shown in the app.
security-pin-changed|customer|core|essential|security|transaction_pin_change_committed|Your transaction PIN changed|Your transaction PIN was changed. We never include your PIN in email. Contact support if this change was unexpected.
security-pin-reset-started|customer|core|essential|security|transaction_pin_recovery_started|Transaction PIN reset requested|A transaction PIN reset was requested. Continue only inside the app. We will never ask you to send your PIN in a reply.
security-account-restricted|customer|core|essential|security|neutral_restriction_notice_approved|Your account needs attention|Some account functions are temporarily unavailable. Open the app for the actions available to you or contact support.
security-account-restored|customer|core|essential|security|restrictions_lifted_committed|Account access updated|Your account access was updated. Open the app to see the services and limits currently available.
identity-closure-requested|customer|core|essential|support|closure_request_accepted|Account closure request received|We received your account closure request. Open the app to review outstanding balances, obligations and the next steps.
identity-closure-cancelled|customer|core|essential|support|closure_request_cancelled|Account closure cancelled|Your account closure request was cancelled. Any separate restrictions continue to apply as shown in the app.
identity-closure-completed|customer|core|essential|support|closure_finalised_contact_retained_lawfully|Your account has been closed|Your account closure is complete. Required records may be retained under the applicable policy. Contact support through a trusted channel for assistance.
kyc-submitted|customer|core|transactional|core|kyc_application_submitted|Identity information received|We received your identity information. You can follow the review status in the app.
kyc-more-information|customer|core|essential|support|kyc_action_required_customer_safe|More information is needed|Please open the app to see the information needed for your identity review. Do not send identity documents by replying to this email.
kyc-approved|customer|core|transactional|core|kyc_decision_approved_committed|Identity review completed|Your identity review was approved. Your available services and current account limits are shown in the app.
kyc-unsuccessful|customer|core|essential|support|kyc_customer_safe_decline_approved|Update on your identity review|We could not complete your identity verification. Open the app for the next steps or the available review process.
kyc-document-expiring|customer|core|essential|support|kyc_document_near_expiry_and_current|Update your identity document|An identity document linked to your account needs updating soon. Open the app for the exact date and secure upload instructions.
kyc-document-expired|customer|core|essential|support|kyc_document_expired_and_current|Identity document update required|An identity document has expired. Open the app to update it and review any resulting service restrictions.
kyc-tier-changed|customer|core|essential|core|tier_policy_applied_to_customer|Your account limits were updated|Your account tier or limits were updated. Review the current limits and any required action in the app.
funding-account-ready|customer|core|transactional|core|partner_account_provisioned_and_verified|Your funding details are ready|Your bank-transfer funding details are ready. View the verified account instructions inside the app before making a payment.
